	date	run	well	timepoint	tempc	class	score	ymin	xmin	ymax	xmax	ID	centroid_x	centroid_y
401	2022-01-05	1	D2	2	26	tube_tip	0.08410858	0.36474985	0.99624205	0.3890109	0.9993367	None	0.99778938	0.37688038
402	2022-01-05	1	D2	2	26	tube_tip	0.08174604	0.017529614	0.37617406	0.04158949	0.4003063	None	0.38824018	0.02955955
403	2022-01-05	1	D2	2	26	tube_tip	0.07926294	0.46511656	0.99578226	0.49178416	0.999725	None	0.99775363	0.47845036
404	2022-01-05	1	D2	2	26	tube_tip	0.07800984	0.2317212	0.9964546	0.25683856	0.9990041	None	0.99772935	0.24427988
405	2022-01-05	1	D2	2	26	tube_tip	0.07376888	0.992352	0.9930879	1.0	1.0	None	0.99654395	0.996176
406	2022-01-05	1	D2	2	26	tube_tip	0.07191298	0.9344051	0.9960349	0.95989263	0.99963564	None	0.99783527	0.94714886
407	2022-01-05	1	D2	2	26	tube_tip	0.07153051	0.5072739	0.9958507	0.53575444	0.9998386	None	0.99784465	0.52151417
408	2022-01-05	1	D2	2	26	tube_tip	0.07062866	0.1909835	0.9960736	0.21935451	0.9995048	None	0.9977892	0.205169
410	2022-01-05	1	D2	2	26	tube_tip	0.069015406	0.3794493	0.1883472	0.40417886	0.20707668	None	0.19771194	0.39181408
411	2022-01-05	1	D2	2	26	tube_tip	0.06884886	0.13979058	0.99670124	0.16018309	0.99966836	None	0.9981848	0.14998683
412	2022-01-05	1	D2	2	26	tube_tip	0.068770334	0.31085214	0.63245994	0.3325155	0.6520832	None	0.64227157	0.32168382
413	2022-01-05	1	D2	2	26	tube_tip	0.06744963	0.0	0.1305441	0.02115922	0.16147247	None	0.14600829	0.01057961
414	2022-01-05	1	D2	2	26	tube_tip	0.06644824	0.40276778	0.99614185	0.42917567	0.9995938	None	0.99786782	0.41597172
415	2022-01-05	1	D2	2	26	tube_tip	0.06542677	0.5458117	0.14866431	0.5734698	0.17447375	None	0.16156903	0.55964075
416	2022-01-05	1	D2	2	26	tube_tip	0.06443748	0.77771306	0.9960749	0.8044764	0.9995415	None	0.9978082	0.79109473
417	2022-01-05	1	D2	2	26	tube_tip	0.06372202	0.995102	0.68412405	1.0	0.709668	None	0.69689602	0.997551
418	2022-01-05	1	D2	2	26	tube_tip	0.06361598	0.9500735	0.996197	0.97587097	0.9996543	None	0.99792565	0.96297224
